subscriberId,operationalState,Status,RTN CoPol C/N,RTN Cross-Pol C/N,RTN Co/Cross-Pol Delta,FWD Rx Es/N0,IB Threshold,OB Threshold,Start Date,Start Time,End Date,End Time,Attenuator P1 dB
29900,Online,MEASUREMENT_PASSED,31.2 dB,5.9 dB,25.3 dB,15.6 dB,-16.5 dB,14.0 dB,25/07/2017,08:00:05,25/07/2017,08:00:18,0
,,MEASUREMENT_PASSED,61.2 dB,32.4 dB,28.8 dB,15.8 dB,-16.5 dB,14.0 dB,19/07/2017,14:51:34,19/07/2017,14:52:15,0
29901,Online,MEASUREMENT_PASSED,61.1 dB,32.3 dB,28.8 dB,15.9 dB,-16.5 dB,14.0 dB,20/07/2017,07:28:37,20/07/2017,07:32:21,0
29902,Offline,MEASUREMENT_PASSED,61.1 dB,35.8 dB,25.3 dB,15.7 dB,-16.5 dB,14.0 dB,20/07/2017,10:33:00,20/07/2017,10:35:35,0
29903,Online,MEASUREMENT_FAILED,27.6 dB,13.9 dB,13.7 dB,13.7 dB,-16.5 dB,14.0 dB,25/07/2017,08:09:04,25/07/2017,08:09:18,0
,,0,0,0,0,0,0,0
29904,Online,MEASUREMENT_FAILED,61.1 dB,36.3 dB,24.8 dB,15.8 dB,-16.5 dB,14.0 dB,19/07/2017,15:26:45,19/07/2017,15:30:05,0
29905,Offline,MEASUREMENT_PASSED,61.0 dB,35.8 dB,25.2 dB,15.7 dB,-16.5 dB,14.0 dB,20/07/2017,09:51:05,20/07/2017,09:53:06,0
29906,Offline,MEASUREMENT_PASSED,60.9 dB,33.9 dB,27.0 dB,15.7 dB,-16.5 dB,14.0 dB,20/07/2017,08:58:40,20/07/2017,08:59:42,0
29907,Online,MEASUREMENT_PASSED,60.6 dB,34.5 dB,26.1 dB,15.8 dB,-16.5 dB,14.0 dB,20/07/2017,08:38:31,20/07/2017,08:40:21,0
29908,Offline,MEASUREMENT_PASSED,61.5 dB,33.2 dB,28.3 dB,15.8 dB,-16.5 dB,14.0 dB,20/07/2017,14:05:50,20/07/2017,14:08:46,0
29909,Online,MEASUREMENT_PASSED,60.4 dB,33.6 dB,26.8 dB,15.6 dB,-16.5 dB,14.0 dB,20/07/2017,14:42:56,20/07/2017,14:43:31,0
29910,Offline,MEASUREMENT_PASSED,61.1 dB,35.1 dB,26.0 dB,15.6 dB,-16.5 dB,14.0 dB,19/07/2017,15:38:19,19/07/2017,15:39:30,0
29911,Online,MEASUREMENT_FAILED,60.3 dB,39.1 dB,21.2 dB,15.6 dB,-16.5 dB,14.0 dB,19/07/2017,14:29:25,19/07/2017,14:30:15,0
29912,Online,MEASUREMENT_PASSED,61.4 dB,33.7 dB,27.7 dB,15.8 dB,-16.5 dB,14.0 dB,19/07/2017,16:52:41,19/07/2017,16:56:26,0
29913,Offline,MEASUREMENT_PASSED,61.3 dB,36.2 dB,25.1 dB,15.5 dB,-16.5 dB,14.0 dB,20/07/2017,10:10:10,20/07/2017,10:11:10,0
29914,Online,MEASUREMENT_PASSED,61.9 dB,36.3 dB,25.6 dB,14.0 dB,-16.5 dB,14.0 dB,19/07/2017,10:46:31,19/07/2017,10:53:07,0
29915,Offline,MEASUREMENT_PASSED,61.2 dB,33.5 dB,27.7 dB,15.7 dB,-16.5 dB,14.0 dB,20/07/2017,09:18:06,20/07/2017,09:19:06,0
29916,Offline,MEASUREMENT_PASSED,60.7 dB,32.5 dB,28.2 dB,15.7 dB,-16.5 dB,14.0 dB,21/07/2017,13:44:03,21/07/2017,13:44:36,0
29917,Online,0,0,0,0,0,0,0
29918,Online,MEASUREMENT_PASSED,60.1 dB,32.7 dB,27.4 dB,15.6 dB,-16.5 dB,14.0 dB,20/07/2017,16:20:37,20/07/2017,16:21:30,0
29919,Offline,MEASUREMENT_PASSED,60.7 dB,35.5 dB,25.2 dB,15.7 dB,-16.5 dB,14.0 dB,21/07/2017,14:11:15,21/07/2017,14:12:14,0
29920,Unknown,0,0,0,0,0,0,0
29921,Online,MEASUREMENT_PASSED,61.0 dB,35.4 dB,25.6 dB,15.7 dB,-16.5 dB,14.0 dB,21/07/2017,14:28:14,21/07/2017,14:29:00,0
29922,Unknown,0,0,0,0,0,0,0
29923,Unknown,0,0,0,0,0,0,0
29924,Unknown,0,0,0,0,0,0,0
29925,Offline,MEASUREMENT_PASSED,60.2 dB,33.0 dB,27.2 dB,15.5 dB,-16.5 dB,14.0 dB,20/07/2017,14:24:50,20/07/2017,14:31:51,0
29926,Online,MEASUREMENT_PASSED,61.6 dB,34.5 dB,27.1 dB,15.9 dB,-16.5 dB,14.0 dB,19/07/2017,17:17:11,19/07/2017,17:17:40,0
29927,Unknown,0,0,0,0,0,0,0
29928,Unknown,0,0,0,0,0,0,0
29929,Unknown,0,0,0,0,0,0,0
29930,Unknown,0,0,0,0,0,0,0
29931,Unknown,0,0,0,0,0,0,0
29932,Unknown,0,0,0,0,0,0,0
29933,Unknown,0,0,0,0,0,0,0
29934,Unknown,0,0,0,0,0,0,0
29935,Unknown,0,0,0,0,0,0,0
29936,Unknown,0,0,0,0,0,0,0
29937,Unknown,0,0,0,0,0,0,0
29938,Unknown,0,0,0,0,0,0,0
29939,Unknown,0,0,0,0,0,0,0
29940,Unknown,0,0,0,0,0,0,0
29941,Unknown,0,0,0,0,0,0,0
29942,Unknown,0,0,0,0,0,0,0
29943,Offline,MEASUREMENT_PASSED,61.3 dB,35.2 dB,26.1 dB,15.8 dB,-16.5 dB,14.0 dB,20/07/2017,15:06:40,20/07/2017,15:08:30,0
29944,Unknown,0,0,0,0,0,0,0
29945,Unknown,0,0,0,0,0,0,0
29946,Unknown,0,0,0,0,0,0,0
29947,Unknown,0,0,0,0,0,0,0
29948,Offline,MEASUREMENT_PASSED,60.4 dB,35.1 dB,25.3 dB,15.8 dB,-16.5 dB,14.0 dB,20/07/2017,08:21:01,20/07/2017,08:22:41,0
29949,Online,MEASUREMENT_PASSED,60.4 dB,31.3 dB,29.1 dB,15.7 dB,-16.5 dB,14.0 dB,20/07/2017,08:02:19,20/07/2017,08:06:06,0
40003,Unknown,0,0,0,0,0,0,0
40007,Online,TIMED_OUT,33.0 dB,7.5 dB,25.5 dB,16.4 dB,-16.5 dB,14.0 dB,18/07/2017,15:01:54,18/07/2017,15:03:04,0
